parameter,value,repeatN,modeDominant,meanStep,stdStep,varStep,meanDominantFrac,stdDominantFrac,varDominantFrac,meanCleanFinal,stdCleanFinal,varCleanFinal,meanWhite,meanGreen,meanBlack,meanYellow,meanOrange
growScale,0.9,8,白色型,140,0,0,0.361025759760259,0.0550173276331274,0.00302690633989089,0.000771684035638963,0.000206254957687081,4.25411075704995e-08,0.347569232819305,0.319959983416717,0.121924034869443,0.105549113665,0.104225951193896
growScale,1,8,白色型,124.125,22.4463646436185,503.839285714286,0.361411669260063,0.0525712698244329,0.00276373841095333,0.000699322805998296,0.00034101796917333,1.16293255299102e-07,0.346796953181496,0.319212486509237,0.123371398972545,0.104488305768686,0.105431532762038
growScale,1.1,8,白色型,117.375,21.7382973442855,472.553571428571,0.367247410831431,0.0584406264358955,0.00341530681821989,0.000651088194635439,0.000340987141509709,1.16272230674962e-07,0.352728586991429,0.317621302589088,0.121683257263554,0.105718339663457,0.101597425297836
consumeScale,0.9,8,白色型,88.75,28.9420603472327,837.642857142857,0.362207335376164,0.0427300969363533,0.00182586118419015,0.00103696975754751,0.000591850882036133,3.50287466566949e-07,0.337804612755559,0.320151214104544,0.113557223000441,0.108033857132656,0.119416123249252
consumeScale,1,8,白色型,124.125,22.4463646436185,503.839285714286,0.361411669260063,0.0525712698244329,0.00276373841095333,0.000699322805998296,0.00034101796917333,1.16293255299102e-07,0.346796953181496,0.319212486509237,0.123371398972545,0.104488305768686,0.105431532762038
consumeScale,1.1,8,白色型,137.125,1.88509188862809,3.55357142857143,0.392832621284023,0.0552605256061062,0.00305372569026312,0.000602876842768104,0.000430575000105007,1.85394830715427e-07,0.392205450307566,0.308869172141467,0.115076482992448,0.096288691210113,0.0869573265056376
lambdaReplace,0.9,8,白色型,137.25,2.49284690951645,6.21428571428571,0.383621191826818,0.0588098024223569,0.00345859286095666,0.000675219459784826,0.000252579211215471,6.37962579382294e-08,0.382102094604595,0.330184963098983,0.116835878630781,0.0947459652510191,0.0754558789548372
lambdaReplace,1,8,白色型,124.125,22.4463646436185,503.839285714286,0.361411669260063,0.0525712698244329,0.00276373841095333,0.000699322805998296,0.00034101796917333,1.16293255299102e-07,0.346796953181496,0.319212486509237,0.123371398972545,0.104488305768686,0.105431532762038
lambdaReplace,1.1,8,绿色型,92.125,33.0646012699814,1093.26785714286,0.344458691112768,0.0471415125089066,0.00222232220162739,0.00108513923549983,0.000950248560372287,9.02972326489603e-07,0.329195194801343,0.312434881004103,0.122213554211568,0.113532323820013,0.121538906927473
